,name,num_plasmids_full,num_plasmids_lim,sum_length_full,sum_length_lim,num_contigs_full,num_contigs_lim,num_cds_full,num_cds_lim,lengths_full,lengths_lim,read_depth_full,read_depth_lim,gene_density_full,gene_density_lim,gc_content_full,gc_content_lim
ES-M-ST001-19MAY15-0089E_assembly,ES-M-ST001-19MAY15-0089E_assembly,4,5,102163,70666,14,10,125,91,"[10817, 61107, 11655, 18584]","[5662, 33004, 10817, 18584, 2599]","[0.424346, 0.933261, 0.459703, 0.552458]","[0.678911, 0.657984, 0.424346, 0.552458, 1.039959]","[0.769622, 0.481025, 0.370056, 0.789173]","[0.621512, 0.375712, 0.71175, 0.789173, 0.361293]","[0.329944, 0.357635, 0.322351, 0.351754]","[0.339456, 0.333202, 0.329944, 0.351754, 0.324356]"
ES-M-ST001-19MAY15-0089I_assembly,ES-M-ST001-19MAY15-0089I_assembly,7,3,89262,76348,31,23,284,148,"[56850, 9136, 9112, 5121, 1795, 3889, 3359]","[13127, 58100, 5121]","[0.815225, 0.588509, 0.837884, 35.927065, 10.132202, 5.211559, 0.624997]","[0.60485, 0.80933, 35.927065]","[0.726966, 0.834173, 0.653973, 0.703964, 0.872981, 0.897146, 0.924085]","[0.75737, 0.705714, 0.703964]","[0.351557, 0.345337, 0.359306, 0.368287, 0.513649, 0.4973, 0.493599]","[0.353241, 0.350361, 0.368287]"
ES-M-ST001-19MAY15-0089K_assembly,ES-M-ST001-19MAY15-0089K_assembly,4,4,53859,50044,12,10,225,94,"[5552, 30951, 2548, 14808]","[4390, 27215, 3631, 14808]","[0.472982, 1.061907, 0.475493, 0.815171]","[0.593842, 1.052923, 1.095046, 0.815171]","[0.630764, 0.872993, 0.734301, 0.80416]","[0.431207, 0.863311, 0.868356, 0.714546]","[0.341138, 0.363833, 0.311224, 0.357847]","[0.334624, 0.360536, 0.389975, 0.357847]"
ES-M-ST001-19MAY15-0089L_assembly,ES-M-ST001-19MAY15-0089L_assembly,6,2,114714,95881,10,4,314,216,"[68605, 27276, 9790, 1795, 3889, 3359]","[27276, 68605]","[0.882103, 1.130533, 0.724795, 9.905442, 4.858681, 0.554298]","[1.130533, 0.882103]","[0.853524, 0.887227, 0.71522, 0.872981, 0.897146, 0.924085]","[0.870912, 0.853524]","[0.340194, 0.363873, 0.329111, 0.513649, 0.496786, 0.493004]","[0.363873, 0.340194]"
ES-M-ST001-19MAY15-0089M_assembly,ES-M-ST001-19MAY15-0089M_assembly,5,2,153891,144848,15,10,374,268,"[112712, 32136, 1795, 3889, 3359]","[112712, 32136]","[1.12333, 1.015263, 9.676706, 4.954414, 0.534069]","[1.12333, 1.015263]","[0.818839, 0.824745, 0.872981, 0.897146, 0.924085]","[0.807128, 0.822473]","[0.346538, 0.362895, 0.513649, 0.4973, 0.493599]","[0.346538, 0.362895]"
ES-M-ST001-21JUL14-0029A_assembly,ES-M-ST001-21JUL14-0029A_assembly,4,2,113393,133956,12,21,273,260,"[76453, 31786, 1795, 3359]","[116135, 17821]","[1.317298, 1.068422, 2.294794, 1.057603]","[1.181506, 0.552744]","[0.815338, 0.863462, 0.872981, 0.924085]","[0.805304, 0.478761]","[0.336769, 0.362424, 0.513649, 0.493599]","[0.344194, 0.296616]"
ES-M-ST001-21JUL14-0029C_assembly,ES-M-ST001-21JUL14-0029C_assembly,7,3,117697,102607,18,10,349,209,"[46060, 20398, 13435, 29660, 2460, 1795, 3889]","[46060, 20398, 36149]","[1.299229, 0.683979, 0.518522, 0.867507, 0.886495, 3.512233, 1.749084]","[1.299229, 0.683979, 0.850259]","[0.851086, 0.798559, 0.816971, 0.808024, 0.508537, 0.872981, 0.897146]","[0.851086, 0.798559, 0.791281]","[0.348068, 0.323463, 0.339486, 0.365172, 0.39878, 0.513649, 0.496786]","[0.348068, 0.323463, 0.363164]"
ES-M-ST001-21JUL14-0029D_assembly,ES-M-ST001-21JUL14-0029D_assembly,7,4,117210,106866,17,13,351,230,"[68691, 10648, 25067, 4660, 2460, 1795, 3889]","[68691, 31556, 2460, 4159]","[1.201686, 0.733502, 1.105076, 0.460668, 0.911644, 3.23822, 1.643696]","[1.201686, 1.059442, 0.911644, 0.581402]","[0.797921, 0.799962, 0.801532, 0.606867, 0.74065, 0.872981, 0.897146]","[0.797921, 0.783686, 0.612195, 0.609522]","[0.340598, 0.344196, 0.364064, 0.305579, 0.39878, 0.513649, 0.4973]","[0.340598, 0.362055, 0.39878, 0.328444]"
ES-M-ST001-21JUL14-0029I_assembly,ES-M-ST001-21JUL14-0029I_assembly,5,3,174781,156594,51,44,335,256,"[14828, 108076, 29930, 18588, 3359]","[108076, 29930, 18588]","[1.870323, 0.953093, 0.995079, 0.536415, 1.653905]","[0.953093, 0.995079, 0.536415]","[0.428042, 0.656603, 0.841129, 0.403594, 0.924085]","[0.656603, 0.826261, 0.369539]","[0.440653, 0.347691, 0.360809, 0.352001, 0.493004]","[0.347691, 0.360809, 0.352001]"
ES-M-ST001-21JUL14-0029J_assembly,ES-M-ST001-21JUL14-0029J_assembly,5,2,161510,116977,29,20,394,248,"[53641, 68770, 31413, 3889, 3797]","[108438, 8539]","[0.944511, 1.343222, 1.055813, 1.177098, 0.822112]","[1.212954, 0.715321]","[0.32656, 0.81031, 0.80142, 0.897146, 0.347643]","[0.782309, 0.481789]","[0.380101, 0.340003, 0.362111, 0.496786, 0.335001]","[0.346714, 0.386228]"
ES-M-ST001-21JUL14-0029K_assembly,ES-M-ST001-21JUL14-0029K_assembly,3,4,252330,151614,18,15,300,234,"[241866, 5320, 5144]","[68770, 67708, 9992, 5144]","[1.011726, 0.466344, 15.770084]","[0.956699, 0.89253, 0.744348, 15.770084]","[0.42433, 0.684023, 0.700816]","[0.840715, 0.339133, 0.600881, 0.700816]","[0.366645, 0.294549, 0.368779]","[0.340047, 0.354685, 0.33737, 0.368779]"
ES-M-ST001-21JUL14-0029L_assembly,ES-M-ST001-21JUL14-0029L_assembly,5,2,123785,117120,19,20,279,250,"[68770, 31556, 17821, 1749, 3889]","[108581, 8539]","[1.283306, 1.078845, 0.425209, 3.329277, 0.842412]","[1.201049, 0.696357]","[0.840715, 0.858854, 0.490938, 0.895941, 0.897146]","[0.819711, 0.481789]","[0.340017, 0.362182, 0.29656, 0.516867, 0.4973]","[0.346755, 0.386228]"
ES-M-ST001-21JUL14-0029M_assembly,ES-M-ST001-21JUL14-0029M_assembly,3,3,75709,101235,4,9,158,215,"[68770, 5144, 1795]","[68770, 27321, 5144]","[0.514557, 13.33188, 1.937696]","[1.589746, 1.125898, 13.33188]","[0.840715, 0.700816, 0.872981]","[0.840715, 0.797994, 0.700816]","[0.339988, 0.368779, 0.513649]","[0.339988, 0.360346, 0.368779]"
ES-M-ST001-23NOV14-0060B_assembly,ES-M-ST001-23NOV14-0060B_assembly,4,1,45763,40609,12,8,204,97,"[33506, 7103, 3359, 1795]",[40609],"[0.983269, 0.546838, 2.937098, 3.219939]",[0.849907],"[0.864024, 0.784035, 0.924085, 0.872981]",[0.815509],"[0.359876, 0.341264, 0.493599, 0.513649]",[0.35662]
ES-M-ST001-23NOV14-0060C_assembly,ES-M-ST001-23NOV14-0060C_assembly,11,2,116590,14892,42,9,294,25,"[7668, 35525, 11020, 17511, 4893, 11848, 5653, 2495, 14819, 1795, 3363]","[11319, 3573]","[1.046496, 1.066555, 1.025311, 1.177946, 1.207584, 1.673696, 1.489149, 0.83669, 0.922447, 5.042448, 3.464376]","[1.078563, 1.86206]","[0.761476, 0.672794, 0.431125, 0.678888, 0.764357, 0.623312, 0.471785, 0.518236, 0.520885, 0.872981, 0.922985]","[0.686721, 0.528687]","[0.351461, 0.379536, 0.358348, 0.353492, 0.382587, 0.348498, 0.386697, 0.347094, 0.358864, 0.513092, 0.492417]","[0.36293, 0.350406]"
ES-M-ST001-23NOV14-0060I_assembly,ES-M-ST001-23NOV14-0060I_assembly,7,3,163449,172310,24,24,276,234,"[112420, 36946, 4157, 2560, 1795, 3889, 1682]","[35098, 100266, 36946]","[1.106877, 0.994982, 0.529544, 0.837162, 5.190723, 2.921071, 1.292917]","[0.729995, 1.150722, 0.994982]","[0.621108, 0.623965, 0.687756, 0.505078, 0.872981, 0.897146, 0.78478]","[0.617072, 0.517254, 0.618091]","[0.345988, 0.369512, 0.318499, 0.344531, 0.513649, 0.496786, 0.393579]","[0.333951, 0.348114, 0.369512]"
ES-M-ST001-23NOV14-0060J_assembly,ES-M-ST001-23NOV14-0060J_assembly,10,6,131995,110905,26,17,410,244,"[12750, 40241, 7028, 24595, 29711, 4383, 5143, 2460, 1795, 3889]","[2761, 40241, 29711, 31084, 1965, 5143]","[0.666541, 1.232372, 0.58776, 1.027282, 0.863087, 0.49028, 5.946438, 0.84555, 4.134846, 2.155899]","[0.610811, 1.232372, 0.865768, 0.979345, 0.54702, 5.946438]","[0.766275, 0.849855, 0.775185, 0.816914, 0.706237, 0.496007, 0.700758, 0.508537, 0.872981, 0.897146]","[0.778341, 0.849855, 0.706237, 0.795586, 0.740458, 0.700758]","[0.343451, 0.347357, 0.321144, 0.36361, 0.332469, 0.311431, 0.368268, 0.39878, 0.513649, 0.496786]","[0.323071, 0.347357, 0.332469, 0.361601, 0.338931, 0.368268]"
ES-M-ST001-23NOV14-0060K_assembly,ES-M-ST001-23NOV14-0060K_assembly,13,6,184766,142967,35,20,478,250,"[23079, 38050, 19898, 3984, 32340, 4075, 18629, 2930, 8421, 2460, 25216, 1795, 3889]","[19898, 38050, 47307, 4075, 8421, 25216]","[0.900106, 1.331818, 0.683647, 0.568396, 1.087725, 1.707281, 0.944542, 0.655099, 1.305535, 0.931932, 1.828344, 7.402788, 3.046175]","[0.683647, 1.331818, 1.036516, 1.707281, 1.305535, 1.828344]","[0.356038, 0.861498, 0.77068, 0.71762, 0.819542, 0.77816, 0.554404, 0.592833, 0.652298, 0.508537, 0.482471, 0.872981, 0.897146]","[0.77068, 0.861498, 0.76365, 0.77816, 0.652298, 0.482471]","[0.360674, 0.348568, 0.324002, 0.318273, 0.362059, 0.356319, 0.330614, 0.330375, 0.345565, 0.39878, 0.367941, 0.513649, 0.4973]","[0.324002, 0.348568, 0.351576, 0.356319, 0.345565, 0.367941]"
ES-M-ST001-23NOV14-0060L_assembly,ES-M-ST001-23NOV14-0060L_assembly,11,5,125722,107216,13,6,368,242,"[6413, 20264, 44903, 4119, 30493, 3650, 5143, 2578, 2460, 1810, 3889]","[20264, 44903, 6413, 30493, 5143]","[0.549728, 0.671377, 1.497619, 0.46481, 1.082916, 0.478602, 14.384548, 0.864, 0.777144, 5.013888, 3.667572]","[0.671377, 1.497619, 0.549728, 1.082916, 14.384548]","[0.869484, 0.785186, 0.885843, 0.694101, 0.892861, 0.590685, 0.700758, 0.501552, 0.508537, 0.865746, 0.897146]","[0.785186, 0.885843, 0.772493, 0.884957, 0.700758]","[0.333853, 0.322937, 0.350511, 0.314639, 0.365133, 0.318904, 0.368268, 0.342901, 0.39878, 0.510497, 0.4973]","[0.322937, 0.350511, 0.333853, 0.365133, 0.368268]"
ES-M-ST001-23NOV14-0060M_assembly,ES-M-ST001-23NOV14-0060M_assembly,13,10,193305,177118,39,33,512,314,"[5845, 5858, 6401, 8450, 68686, 19611, 56566, 4335, 4935, 5165, 1795, 3889, 1769]","[5858, 8450, 5591, 50426, 56566, 18528, 6401, 5845, 14288, 5165]","[0.716609, 0.552148, 0.558685, 0.523942, 0.76003, 0.653516, 0.991232, 0.678306, 0.42473, 10.611261, 5.421464, 3.516549, 1.717447]","[0.552148, 0.523942, 0.484036, 0.723657, 0.991232, 0.946256, 0.558685, 0.708291, 0.871925, 10.611261]","[0.889649, 0.842779, 0.87127, 0.762485, 0.770783, 0.616542, 0.680709, 0.788235, 0.612361, 0.697967, 0.872981, 0.897146, 0.333522]","[0.842779, 0.762485, 0.575926, 0.773649, 0.680709, 0.70774, 0.773942, 0.47716, 0.574468, 0.697967]","[0.318734, 0.319392, 0.33401, 0.310178, 0.352721, 0.347917, 0.341848, 0.332641, 0.296859, 0.367861, 0.513092, 0.4973, 0.389486]","[0.319392, 0.310178, 0.310141, 0.34982, 0.341848, 0.361237, 0.33401, 0.318734, 0.363592, 0.367861]"
ES-M-ST002-03NOV15-0138A_assembly,ES-M-ST002-03NOV15-0138A_assembly,4,1,61701,41386,17,8,238,106,"[14745, 41386, 3889, 1681]",[41386],"[1.597423, 0.878796, 2.669005, 3.329372]",[0.878796],"[0.356935, 0.860363, 0.897146, 0.785247]",[0.831731],"[0.412818, 0.357319, 0.497043, 0.393813]",[0.357319]
ES-M-ST002-08MAR16-0148A_assembly,ES-M-ST002-08MAR16-0148A_assembly,1,0,1508,0,8,0,8,0,[1508],[],[3.175167],[],[0.3813],[],[0.515915],[]
ES-M-ST002-15SEP15-0125I_assembly,ES-M-ST002-15SEP15-0125I_assembly,2,1,60263,41460,8,7,258,60,"[41460, 18803]",[41460],"[0.610165, 1.104384]",[0.610165],"[0.468259, 0.674467]",[0.446454],"[0.336589, 0.353986]",[0.336589]
ES-M-ST002-23NOV14-0061A_assembly,ES-M-ST002-23NOV14-0061A_assembly,5,1,85768,5143,27,1,149,8,"[16865, 21053, 35263, 5143, 7444]",[5143],"[1.865837, 1.005612, 1.153745, 7.784049, 2.363604]",[7.784049],"[0.376342, 0.683181, 0.324561, 0.700953, 0.627485]",[0.700953],"[0.430833, 0.354106, 0.392508, 0.368073, 0.453117]",[0.368073]
ES-N-FC137-09JUN14-0093C_assembly,ES-N-FC137-09JUN14-0093C_assembly,7,4,54588,43253,24,19,153,81,"[11162, 11773, 18618, 1700, 3813, 1848, 5674]","[11162, 18618, 11773, 1700]","[0.575233, 1.10952, 0.918777, 0.958996, 3.000483, 2.84337, 1.069762]","[0.575233, 0.928366, 1.085783, 0.958996]","[0.789106, 0.710694, 0.82012, 0.497647, 0.915028, 0.847944, 0.447303]","[0.740011, 0.793802, 0.610295, 0.497647]","[0.297438, 0.33322, 0.345096, 0.342353, 0.497771, 0.504329, 0.348431]","[0.297438, 0.345096, 0.33322, 0.342353]"
ES-S-CB001-14SEP15-0121I_assembly,ES-S-CB001-14SEP15-0121I_assembly,5,4,116538,110725,24,19,361,133,"[5813, 38897, 2885, 55004, 13939]","[38897, 2885, 13939, 55004]","[5.399244, 1.575359, 1.175113, 2.066619, 1.694383]","[1.575359, 1.674245, 1.694383, 2.066619]","[0.862377, 0.416073, 0.335875, 0.344102, 0.644953]","[0.399362, 0.332756, 0.627305, 0.344102]","[0.501634, 0.376456, 0.361525, 0.352538, 0.336179]","[0.376456, 0.361525, 0.336179, 0.352538]"
ES-S-CB001-14SEP15-0121J_assembly,ES-S-CB001-14SEP15-0121J_assembly,3,1,10376,6299,6,6,40,13,"[1835, 3363, 5178]",[6299],"[5.637948, 3.346377, 0.532511]",[0.806661],"[0.853951, 0.922985, 0.846659]",[0.693761],"[0.507357, 0.492715, 0.392043]",[0.385617]
ES-S-FC022-12MAY14-0021E_assembly,ES-S-FC022-12MAY14-0021E_assembly,5,2,71967,43506,9,3,221,68,"[2539, 24855, 4532, 18651, 21390]","[24855, 18651]","[7.364984, 0.897965, 3.154745, 1.437547, 1.386232]","[0.897965, 1.442367]","[0.645924, 0.786321, 0.716902, 0.504316, 0.563488]","[0.781332, 0.456437]","[0.494683, 0.326333, 0.425199, 0.337247, 0.348714]","[0.326333, 0.337247]"
ES-S-FC025-15SEP14-0165K_assembly,ES-S-FC025-15SEP14-0165K_assembly,3,2,48574,42802,6,2,205,83,"[5772, 36947, 5855]","[5855, 36947]","[3.917775, 0.82896, 0.419519]","[0.419519, 0.82896]","[0.8886, 0.871004, 0.663194]","[0.652434, 0.855956]","[0.502945, 0.351639, 0.322972]","[0.322972, 0.351639]"
ES-S-FC072-15SEP14-0172A_assembly,ES-S-FC072-15SEP14-0172A_assembly,4,2,109033,57849,33,16,289,96,"[7826, 50023, 46016, 5168]","[7826, 50023]","[0.409302, 0.983031, 1.099127, 4.128845]","[0.409302, 0.983031]","[0.79517, 0.807728, 0.452603, 0.903831]","[0.79517, 0.769966]","[0.276386, 0.336925, 0.347988, 0.49942]","[0.276386, 0.336925]"
ES-S-FC302-12MAY14-0034E_assembly,ES-S-FC302-12MAY14-0034E_assembly,4,2,71464,65113,7,4,222,86,"[4532, 18545, 46568, 1819]","[18545, 46568]","[3.993672, 1.990194, 1.262404, 4.988992]","[2.022919, 1.262404]","[0.716902, 0.507199, 0.679179, 0.861462]","[0.459046, 0.560428]","[0.425199, 0.336263, 0.336003, 0.509621]","[0.336263, 0.336003]"
ES-S-FC400-14MAR16-0827I_assembly,ES-S-FC400-14MAR16-0827I_assembly,3,1,63409,58234,7,4,364,132,"[58234, 3363, 1812]",[58234],"[0.879828, 6.129635, 6.893544]",[0.879828],"[0.846876, 0.922985, 0.86479]",[0.831799],"[0.347048, 0.492715, 0.510486]",[0.347048]
ES-S-FC404-20JUL15-0555B_assembly,ES-S-FC404-20JUL15-0555B_assembly,3,1,67656,36214,18,1,248,46,"[5902, 25540, 36214]",[36214],"[6.037745, 0.702158, 0.753824]",[0.753824],"[0.869027, 0.750235, 0.82435]",[0.82388],"[0.498645, 0.355208, 0.3439]",[0.3439]
ES-S-FC404-20JUL15-0555J_assembly,ES-S-FC404-20JUL15-0555J_assembly,6,5,110367,104656,19,15,284,138,"[39142, 10137, 14478, 1735, 39164, 5711]","[39142, 10137, 1735, 14478, 39164]","[0.648332, 0.744736, 0.481963, 0.454982, 0.650814, 3.861571]","[0.648332, 0.744736, 0.454982, 0.481963, 0.650814]","[0.786623, 0.645457, 0.556154, 0.461671, 0.58015, 0.885309]","[0.76409, 0.645457, 0.461671, 0.556154, 0.58015]","[0.342497, 0.336983, 0.331054, 0.310086, 0.361352, 0.500613]","[0.342497, 0.336983, 0.310086, 0.331054, 0.361352]"
ES-S-FC504-20JUL15-0557I_assembly,ES-S-FC504-20JUL15-0557I_assembly,3,1,26538,5705,8,2,54,5,"[5780, 15053, 5705]",[5705],"[5.438796, 1.024051, 0.639338]",[0.678446],"[0.88737, 0.547133, 0.321648]",[0.321648],"[0.503114, 0.378529, 0.334794]",[0.334794]
ES-S-FC504-20JUL15-0557K_assembly,ES-S-FC504-20JUL15-0557K_assembly,4,1,84364,5705,28,2,294,5,"[5780, 57826, 15053, 5705]",[5705],"[6.162954, 0.815085, 1.048105, 0.609191]",[0.700088],"[0.88737, 0.722512, 0.547133, 0.321472]",[0.321472],"[0.502941, 0.349151, 0.378529, 0.334443]",[0.334443]
ES-V-CB001-14JUL15-0103B_assembly,ES-V-CB001-14JUL15-0103B_assembly,4,1,52561,43457,18,13,82,68,"[43456, 3893, 3363, 1849]",[43457],"[0.750014, 5.6003, 0.576285, 7.528588]",[0.747947],"[0.542227, 0.896224, 0.922985, 0.847485]",[0.542237],"[0.355095, 0.496789, 0.493012, 0.504056]",[0.355087]
ES-V-CB001-21SEP15-0126C_assembly,ES-V-CB001-21SEP15-0126C_assembly,3,0,9072,0,5,0,15,0,"[1812, 3897, 3363]",[],"[7.446046, 4.270629, 0.437485]",[],"[0.86479, 0.895304, 0.922985]",[],"[0.510486, 0.496279, 0.492715]",[]
ES-V-CB002-10NOV15-0140C_assembly,ES-V-CB002-10NOV15-0140C_assembly,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
ES-V-CB002-14JUL15-0104C_assembly,ES-V-CB002-14JUL15-0104C_assembly,4,1,61308,52236,6,1,139,124,"[52236, 3897, 3363, 1812]",[52236],"[0.998233, 4.15764, 0.420642, 6.103111]",[0.998233],"[0.882418, 0.895304, 0.922985, 0.86479]",[0.882418],"[0.350467, 0.496536, 0.493012, 0.510486]",[0.350467]
ES-V-FC083-19JAN16-0764C_assembly,ES-V-FC083-19JAN16-0764C_assembly,2,0,5728,0,3,0,11,0,"[1835, 3893]",[],"[6.511106, 5.245817]",[],"[0.853951, 0.896224]",[],"[0.507357, 0.496532]",[]
ES-V-FC083-23SEP14-0190B_assembly,ES-V-FC083-23SEP14-0190B_assembly,2,0,5203,0,3,0,6,0,"[3363, 1840]",[],"[2.53962, 2.856589]",[],"[0.922985, 0.85163]",[],"[0.493012, 0.505978]",[]
ES-V-FC083-23SEP14-0190C_assembly,ES-V-FC083-23SEP14-0190C_assembly,2,0,5796,0,3,0,11,0,"[3893, 1903]",[],"[2.707375, 3.021962]",[],"[0.896224, 0.823437]",[],"[0.496532, 0.499737]",[]
ES-V-FC099-23SEP14-0192A_assembly,ES-V-FC099-23SEP14-0192A_assembly,5,2,67870,39883,38,25,127,62,"[27992, 3611, 30206, 1805, 4256]","[11710, 28173]","[0.870632, 8.55352, 1.40008, 2.352337, 0.446921]","[0.747277, 1.120488]","[0.417083, 0.454168, 0.487685, 0.868144, 0.371711]","[0.747054, 0.329322]","[0.349028, 0.496815, 0.381216, 0.511911, 0.316259]","[0.336806, 0.36503]"
ES-V-FC099-23SEP14-0192B_assembly,ES-V-FC099-23SEP14-0192B_assembly,4,2,57361,39789,35,23,118,62,"[17604, 30054, 5168, 4535]","[11710, 28079]","[1.033798, 1.086991, 9.3925, 0.440052]","[0.765328, 1.196922]","[0.747557, 0.490151, 0.903831, 0.348842]","[0.747054, 0.330425]","[0.361906, 0.382179, 0.49942, 0.316428]","[0.336806, 0.365683]"
ES-V-FC099-26MAY14-0051E_assembly,ES-V-FC099-26MAY14-0051E_assembly,2,0,5708,0,3,0,11,0,"[1815, 3893]",[],"[7.623455, 3.415793]",[],"[0.863361, 0.896224]",[],"[0.510193, 0.496532]",[]
NS-0004_assembly,NS-0004_assembly,8,4,112879,176695,29,50,209,219,"[15258, 4607, 2418, 18454, 24603, 41603, 3893, 2043]","[135317, 13252, 24603, 3523]","[0.704981, 0.650169, 0.520709, 0.401985, 0.948472, 0.54646, 1.534932, 1.61276]","[1.145311, 0.532447, 0.964546, 1.007178]","[0.580351, 0.741046, 0.586435, 0.478108, 0.753201, 0.597793, 0.896224, 0.767009]","[0.617535, 0.364926, 0.753201, 0.332955]","[0.337004, 0.329933, 0.303557, 0.31229, 0.358737, 0.370935, 0.496275, 0.487029]","[0.35136, 0.327875, 0.358737, 0.337213]"
NS-0020_assembly,NS-0020_assembly,3,2,143439,138278,18,14,408,274,"[18345, 119933, 5161]","[18345, 119933]","[0.51182, 1.154563, 1.418296]","[0.51182, 1.154563]","[0.839902, 0.850408, 0.905057]","[0.712456, 0.846698]","[0.317525, 0.345226, 0.500484]","[0.317525, 0.345226]"
NS-0026_assembly,NS-0026_assembly,5,3,159644,185687,13,18,280,287,"[95126, 55726, 1795, 3359, 3638]","[126323, 55726, 3638]","[0.936225, 0.749691, 3.421476, 2.068838, 0.570314]","[1.017551, 0.749691, 0.524601]","[0.819797, 0.603471, 0.872981, 0.924085, 0.846894]","[0.797123, 0.603471, 0.846894]","[0.332916, 0.362883, 0.513649, 0.493004, 0.392523]","[0.341925, 0.362883, 0.392523]"
NS-0047_assembly,NS-0047_assembly,13,9,193719,171851,65,52,428,255,"[13350, 17093, 44298, 36607, 7074, 11606, 1569, 5485, 33238, 8955, 1782, 3893, 8769]","[23095, 39003, 37150, 5485, 14222, 33238, 8955, 8173, 2530]","[0.676962, 0.439631, 1.264171, 0.76557, 0.858152, 0.780542, 0.765747, 1.36658, 1.288831, 1.238479, 3.822505, 2.914049, 0.640468]","[0.455975, 0.777886, 1.247224, 1.433568, 1.171037, 1.2888, 1.225855, 0.60975, 3.031116]","[0.584944, 0.864623, 0.733284, 0.729205, 0.544388, 0.596933, 0.745698, 0.815497, 0.536404, 0.459855, 0.879349, 0.896224, 0.44817]","[0.7189, 0.702202, 0.660135, 0.802188, 0.775629, 0.511673, 0.459855, 0.480852, 0.463636]","[0.338727, 0.31978, 0.355975, 0.335482, 0.333899, 0.364897, 0.326322, 0.373929, 0.341928, 0.354886, 0.514029, 0.496789, 0.339605]","[0.325438, 0.336589, 0.346487, 0.373929, 0.369428, 0.341928, 0.354886, 0.336474, 0.378656]"
NS-0053_assembly,NS-0053_assembly,5,3,76328,70605,8,3,168,146,"[48200, 19945, 2460, 1795, 3928]","[19945, 48200, 2460]","[0.955456, 0.456611, 1.006492, 2.111972, 1.226911]","[0.456611, 0.955456, 1.006492]","[0.873237, 0.768864, 0.638211, 0.872981, 0.888238]","[0.768864, 0.873237, 0.509756]","[0.348008, 0.324141, 0.39878, 0.513649, 0.495927]","[0.324141, 0.348008, 0.39878]"
NS-0057_assembly,NS-0057_assembly,14,11,235974,260982,75,71,517,371,"[4112, 77779, 34624, 18871, 27796, 8947, 11020, 2748, 33505, 3802, 5695, 1779, 3363, 1933]","[4112, 77779, 8947, 18871, 27796, 68677, 11020, 2748, 33505, 5321, 2206]","[0.700093, 0.899418, 0.854121, 0.695869, 1.014504, 0.414721, 0.76017, 0.620742, 1.223008, 0.430205, 0.93984, 5.227091, 1.374793, 0.906191]","[0.700093, 0.899418, 0.414721, 0.695869, 1.014504, 0.970497, 0.76017, 0.620742, 1.223008, 0.8932, 0.93751]","[0.911235, 0.740457, 0.716208, 0.801176, 0.748165, 0.721918, 0.813249, 0.580422, 0.701328, 0.528143, 0.536611, 0.880832, 0.922985, 0.649767]","[0.911235, 0.733797, 0.721918, 0.798421, 0.717657, 0.30492, 0.765517, 0.580422, 0.701328, 0.467581, 0.531732]","[0.317607, 0.341737, 0.357064, 0.326692, 0.356922, 0.30703, 0.339292, 0.351892, 0.366333, 0.319832, 0.359614, 0.514334, 0.493012, 0.373513]","[0.317607, 0.341737, 0.30703, 0.326692, 0.356922, 0.369774, 0.339292, 0.351892, 0.366333, 0.360083, 0.37262]"
NS-0062_assembly,NS-0062_assembly,3,1,109556,64511,16,7,197,73,"[14889, 91304, 3363]",[64511],"[2.088394, 1.086475, 2.420052]",[1.035602],"[0.426288, 0.448086, 0.922985]",[0.471361],"[0.43925, 0.36891, 0.493012]",[0.361845]
NS-0077_assembly,NS-0077_assembly,2,2,7768,43750,6,10,13,70,"[2536, 5232]","[41152, 2598]","[1.118643, 3.083047]","[0.50727, 1.475787]","[0.60765, 0.892775]","[0.669421, 0.361432]","[0.326104, 0.496751]","[0.343726, 0.324095]"
NS-0078_assembly,NS-0078_assembly,7,5,132248,99650,22,14,232,179,"[5780, 19623, 48192, 10647, 17589, 3599, 26818]","[19623, 10647, 48192, 17589, 3599]","[5.215115, 0.747914, 1.052813, 0.523719, 0.473718, 0.472709, 1.118588]","[0.747914, 0.523719, 1.052813, 0.473718, 0.472709]","[0.867301, 0.732559, 0.873651, 0.817226, 0.575701, 0.416505, 0.377806]","[0.732559, 0.817226, 0.873651, 0.575701, 0.416505]","[0.502941, 0.338429, 0.348004, 0.330797, 0.315424, 0.357044, 0.38586]","[0.338429, 0.330797, 0.348004, 0.315424, 0.357044]"
NS-0079_assembly,NS-0079_assembly,6,2,117935,33136,33,18,232,40,"[20200, 12936, 76232, 2839, 3893, 1835]","[20200, 12936]","[0.774761, 0.822998, 1.118869, 1.365256, 2.940457, 3.488723]","[0.774761, 0.822998]","[0.556337, 0.796846, 0.330176, 0.565692, 0.896224, 0.853951]","[0.500446, 0.742192]","[0.337822, 0.362554, 0.368625, 0.356111, 0.496275, 0.506812]","[0.337822, 0.362554]"
NS-0080_assembly,NS-0080_assembly,6,4,145214,112647,20,13,248,192,"[5780, 67631, 12240, 21728, 11048, 26787]","[67631, 12240, 11048, 21728]","[4.798062, 0.852428, 0.400615, 0.654921, 0.54424, 1.120861]","[0.852428, 0.400615, 0.54424, 0.654921]","[0.88737, 0.852834, 0.869363, 0.725976, 0.601828, 0.390749]","[0.852834, 0.869363, 0.601828, 0.725976]","[0.502941, 0.345212, 0.326961, 0.347018, 0.314808, 0.38612]","[0.345212, 0.326961, 0.314808, 0.347018]"
