,name,num_plasmids_full,num_plasmids_lim,sum_length_full,sum_length_lim,num_contigs_full,num_contigs_lim,num_cds_full,num_cds_lim,lengths_full,lengths_lim,read_depth_full,read_depth_lim,gene_density_full,gene_density_lim,gc_content_full,gc_content_lim
BP-R7-1_assembly,BP-R7-1_assembly,8,6,114730,76565,31,22,196,64,"[8929, 10989, 38456, 36123, 9331, 5144, 3893, 1865]","[8929, 10989, 12856, 9331, 5144, 29316]","[0.611334, 0.436976, 0.766762, 0.630741, 8.000861, 14.035431, 1.133945, 1.23587]","[0.611334, 0.436976, 0.700007, 8.000861, 14.035431, 0.622673]","[0.910628, 0.516244, 0.584512, 0.662127, 0.745151, 0.700816, 0.896224, 0.840214]","[0.902565, 0.499044, 0.489888, 0.745151, 0.700816, 0.416394]","[0.345503, 0.335244, 0.363896, 0.3611, 0.371664, 0.368585, 0.497046, 0.504021]","[0.345503, 0.335244, 0.35322, 0.371664, 0.368585, 0.355096]"
BP-W141-1_assembly,BP-W141-1_assembly,8,3,55886,30380,28,16,209,62,"[7998, 4701, 5053, 10164, 16435, 5846, 1795, 3894]","[7998, 10164, 12218]","[0.486425, 0.515137, 0.80387, 0.58986, 0.60352, 0.538046, 4.859569, 2.538093]","[0.486425, 0.600118, 0.700283]","[0.849462, 0.865773, 0.79814, 0.800669, 0.436568, 0.55183, 0.872981, 0.895994]","[0.849462, 0.699823, 0.33066]","[0.354089, 0.362689, 0.40471, 0.371901, 0.345969, 0.37051, 0.512535, 0.495891]","[0.354089, 0.371901, 0.372156]"
BP-W19-2_assembly,BP-W19-2_assembly,6,5,109527,104218,29,25,323,194,"[5309, 10006, 55007, 19684, 6543, 12978]","[10006, 55007, 19684, 6543, 12978]","[6.549484, 0.431214, 0.739576, 0.488607, 0.880355, 0.488802]","[0.431214, 0.739576, 0.488607, 0.880355, 0.488802]","[0.893577, 0.76704, 0.811097, 0.809795, 0.581996, 0.610264]","[0.694084, 0.728471, 0.809795, 0.541342, 0.610264]","[0.498211, 0.332101, 0.368462, 0.360191, 0.378267, 0.365619]","[0.332101, 0.368462, 0.360191, 0.378267, 0.365619]"
BP-W84-1_assembly,BP-W84-1_assembly,9,6,125744,109608,59,55,218,163,"[6661, 39132, 23394, 13811, 24126, 5143, 1815, 1674, 9988]","[6661, 39132, 24558, 24126, 5143, 9988]","[0.874352, 0.539684, 0.433326, 2.779593, 0.564473, 4.974175, 1.908022, 0.757044, 0.992998]","[0.874352, 0.539684, 0.821449, 0.564473, 4.974175, 0.992998]","[0.382075, 0.661019, 0.50919, 0.706755, 0.571251, 0.700953, 0.863361, 0.78853, 0.530136]","[0.382075, 0.618777, 0.390463, 0.502238, 0.700953, 0.530136]","[0.362558, 0.35163, 0.325725, 0.342698, 0.350991, 0.367879, 0.509642, 0.442055, 0.367141]","[0.362558, 0.35163, 0.3405, 0.350991, 0.367879, 0.367141]"
Ent-0002_assembly,Ent-0002_assembly,2,0,5178,0,3,0,6,0,"[1815, 3363]",[],"[4.614377, 2.161731]",[],"[0.863361, 0.922985]",[],"[0.510193, 0.492715]",[]
Ent-0025_assembly,Ent-0025_assembly,6,3,83853,48631,28,20,206,78,"[23071, 14637, 10923, 29561, 3813, 1848]","[23071, 14637, 10923]","[0.900685, 0.828197, 0.673566, 1.097277, 3.173131, 4.085889]","[0.900685, 0.828197, 0.673566]","[0.789563, 0.824213, 0.740364, 0.501201, 0.915028, 0.847944]","[0.732088, 0.795655, 0.740364]","[0.344545, 0.342488, 0.328023, 0.361152, 0.497509, 0.504329]","[0.344545, 0.342488, 0.328023]"
Ent-0182_assembly,Ent-0182_assembly,1,0,5200,0,4,0,6,0,[5200],[],[3.217957],[],[0.898269],[],[0.497885],[]
Ent-0202_assembly,Ent-0202_assembly,3,1,13212,8054,4,1,13,7,"[8054, 3363, 1795]",[8054],"[0.453556, 2.931769, 2.83748]",[0.453556],"[0.766079, 0.922985, 0.872981]",[0.766079],"[0.320834, 0.492715, 0.513092]",[0.320834]
Ent-0238_assembly,Ent-0238_assembly,2,0,5182,0,3,0,6,0,"[1819, 3363]",[],"[1.093208, 1.200378]",[],"[0.861462, 0.922985]",[],"[0.51017, 0.49331]",[]
Ent-0261_assembly,Ent-0261_assembly,5,3,109385,53670,27,13,298,92,"[29272, 50547, 22698, 1700, 5168]","[29272, 22698, 1700]","[0.919525, 1.04033, 0.919895, 0.933813, 3.309519]","[0.919525, 0.922658, 0.934388]","[0.829769, 0.495282, 0.752533, 0.497647, 0.903831]","[0.78201, 0.730945, 0.497647]","[0.333117, 0.354917, 0.32602, 0.342353, 0.49942]","[0.333117, 0.32602, 0.342353]"
